Date,Open,High,Low,Close,Adj Close,Volume
2017-04-24,67.480003,69.139999,67.099998,68.459999,65.942688,160598000
2017-05-01,68.680000,69.709999,68.489998,69.000000,66.462830,125666700
2017-05-08,68.970001,69.559998,68.040001,68.379997,65.865623,106905800
2017-05-15,68.139999,69.440002,67.139999,67.690002,65.201004,149197500
2017-05-22,67.889999,70.220001,67.500000,69.959999,67.773788,87939300
2017-05-29,69.790001,71.860001,69.449997,71.760002,69.517555,103883100
2017-06-05,71.970001,72.889999,68.589996,70.320000,68.122536,160773400
2017-06-12,69.250000,71.099998,68.129997,70.000000,67.812546,172944800
2017-06-19,70.500000,71.250000,69.709999,71.209999,68.984726,115784600
2017-06-26,71.400002,71.709999,68.089996,68.930000,66.775978,123708100
2017-07-03,69.330002,69.839996,68.019997,69.459999,67.289413,75337700
2017-07-10,69.459999,73.269997,69.199997,72.779999,70.505669,96363300
2017-07-17,72.800003,74.300003,72.660004,73.790001,71.484108,159733500
2017-07-24,73.529999,74.419998,72.320000,73.040001,70.757545,114816600
2017-07-31,73.300003,73.440002,71.440002,72.680000,70.408791,113025000
2017-08-07,72.800003,73.129997,71.279999,72.500000,70.234421,109141900
2017-08-14,73.059998,74.099998,71.930000,72.489998,70.224731,99138100
2017-08-21,72.470001,73.349998,71.699997,72.820000,70.920265,75737600
2017-08-28,73.059998,74.959999,72.050003,73.940002,72.011063,92334900
2017-09-04,73.339996,74.599998,72.980003,73.980003,72.050011,70266800
2017-09-11,74.309998,75.489998,74.070000,75.309998,73.345314,99998400
2017-09-18,75.230003,75.970001,73.849998,74.410004,72.468796,94285700
2017-09-25,74.089996,74.540001,72.919998,74.489998,72.546715,89696800
2017-10-02,74.709999,76.120003,73.709999,76.000000,74.017319,75968000
2017-10-09,75.970001,77.870003,75.860001,77.489998,75.468445,72932100
2017-10-16,77.419998,78.970001,77.250000,78.809998,76.754005,80464000
2017-10-23,78.989998,86.199997,78.010002,83.809998,81.623573,161742600
2017-10-30,83.699997,84.540001,82.879997,84.139999,81.944954,122777100
2017-11-06,84.199997,84.900002,82.900002,83.870003,81.682007,95714400
2017-11-13,83.660004,84.099998,82.239998,82.400002,80.250359,95423100
2017-11-20,82.400002,83.900002,82.250000,83.260002,81.495148,65531200
2017-11-27,83.309998,85.059998,83.180000,84.260002,82.473946,130159000
2017-12-04,84.419998,84.580002,80.699997,84.160004,82.376076,139082900
2017-12-11,84.290001,87.089996,84.120003,86.849998,85.009048,142087400
2017-12-18,87.120003,87.500000,84.709999,85.510002,83.697456,101620000
2017-12-25,85.309998,86.050003,85.029999,85.540001,83.726814,53880900
2018-01-01,86.129997,88.410004,85.500000,88.190002,86.320648,93864300
2018-01-08,88.199997,89.779999,87.239998,89.599998,87.700768,102329900
2018-01-15,90.099998,90.790001,88.010002,90.000000,88.092278,123237000
2018-01-22,90.000000,94.059998,89.739998,94.059998,92.066223,135847300
2018-01-29,95.139999,96.070000,91.500000,91.779999,89.834541,214057000
2018-02-05,90.559998,93.239998,83.830002,88.180000,86.310867,279265500
2018-02-12,88.739998,93.500000,87.800003,92.000000,90.049889,155509700
2018-02-19,91.480003,94.070000,91.010002,94.059998,92.498703,108556200
2018-02-26,94.400002,95.839996,90.860001,93.050003,91.505470,157202200
2018-03-05,92.339996,96.540001,92.260002,96.540001,94.937538,135618600
2018-03-12,96.500000,97.239998,92.830002,94.599998,93.029739,170285800
2018-03-19,93.739998,94.050003,87.080002,87.180000,85.732895,163550000
2018-03-26,90.610001,95.139999,88.400002,91.269997,89.755013,211334400
2018-04-02,90.470001,93.070000,87.510002,90.230003,88.732277,189087100
2018-04-09,91.040001,94.180000,90.620003,93.080002,91.534966,133323000
2018-04-16,94.070000,97.070000,93.419998,95.000000,93.423088,122809300
2018-04-23,95.739998,97.900002,90.279999,95.820000,94.229485,181387700
2018-04-30,96.330002,96.400002,92.449997,95.160004,93.580437,154077300
2018-05-07,95.169998,97.949997,95.050003,97.699997,96.078278,114220400
2018-05-14,97.919998,98.690002,95.830002,96.360001,94.760529,96545300
2018-05-21,97.000000,98.980003,96.320000,98.360001,97.146576,100991700
2018-05-28,97.839996,100.860001,97.230003,100.790001,99.546600,113626000
2018-06-04,101.260002,102.690002,100.379997,101.629997,100.376228,122316200
2018-06-11,101.010002,102.029999,100.070000,100.129997,98.894745,162739400
2018-06-18,100.010002,102.519997,99.419998,100.410004,99.171288,140541200
2018-06-25,100.000000,100.110001,97.260002,98.610001,97.393494,148332800
2018-07-02,98.099998,101.430000,98.000000,101.160004,99.912033,72446800
2018-07-09,101.650002,105.599998,101.099998,105.430000,104.129356,106120800
2018-07-16,105.400002,108.199997,103.889999,106.269997,104.958992,173358100
2018-07-23,106.300003,111.150002,106.129997,107.680000,106.351593,155103100
2018-07-30,107.190002,108.089996,104.760002,108.040001,106.707153,130716100
2018-08-06,108.120003,110.160004,107.559998,109.000000,107.655319,83677700
2018-08-13,109.239998,109.750000,106.690002,107.580002,106.252831,104689400
2018-08-20,107.510002,108.559998,105.779999,108.400002,107.474731,94198400
2018-08-27,109.269997,112.779999,108.510002,112.330002,111.371185,105653200
2018-09-03,110.849998,111.959999,107.230003,108.209999,107.286346,101483200
2018-09-10,108.839996,113.730003,108.360001,113.370003,112.402298,109098700
2018-09-17,113.690002,115.290001,111.040001,114.260002,113.284706,159580000
2018-09-24,113.029999,115.099998,112.220001,114.370003,113.393768,110093600
2018-10-01,114.750000,116.180000,110.639999,112.129997,111.172890,120208900
2018-10-08,111.660004,113.080002,104.199997,109.570000,108.634735,228861900
2018-10-15,108.910004,111.809998,106.949997,108.660004,107.732506,155518200
2018-10-22,109.320000,110.540001,101.589996,106.959999,106.047012,251383700
2018-10-29,108.110001,108.699997,100.110001,106.160004,105.253845,242639700
2018-11-05,106.370003,112.239998,105.900002,109.570000,108.634735,147847300
2018-11-12,109.419998,109.959999,103.910004,108.290001,107.365669,180498800
2018-11-19,108.269997,108.559998,99.349998,103.070000,102.631691,150780100
2018-11-26,104.790001,111.330002,104.580002,110.889999,110.418434,170038000
2018-12-03,113.000000,113.419998,104.300003,104.820000,104.374245,174082100
2018-12-10,104.800003,111.269997,103.889999,106.029999,105.579102,197742900
